ckpt,category,n,parse_fail,n_parsed,n_gt_yes,n_gt_no,hits,false_alarms,H,FA,dprime,c,bal_acc,clipped
S0,adversarial,3000,0,3000,1500,1500,1154,136,0.7693,0.0907,2.0733,0.3,0.8393,none
S0,popular,3000,0,3000,1500,1500,1157,72,0.7713,0.048,2.4078,0.4607,0.8617,none
S0,random,3000,0,3000,1500,1500,1159,36,0.7727,0.024,2.725,0.6149,0.8743,none
S0,all,9000,0,9000,4500,4500,3470,244,0.7711,0.0542,2.3477,0.4314,0.8584,none
S1,adversarial,3000,0,3000,1500,1500,1197,171,0.798,0.114,2.04,0.1855,0.842,none
S1,popular,3000,0,3000,1500,1500,1199,77,0.7993,0.0513,2.4713,0.3964,0.874,none
S1,random,3000,0,3000,1500,1500,1199,44,0.7993,0.0293,2.7299,0.5257,0.885,none
S1,all,9000,0,9000,4500,4500,3595,292,0.7989,0.0649,2.3526,0.3387,0.867,none
S2,adversarial,3000,0,3000,1500,1500,1305,335,0.87,0.2233,1.8874,-0.1827,0.8233,none
S2,popular,3000,0,3000,1500,1500,1308,175,0.872,0.1167,2.3277,0.028,0.8777,none
S2,random,3000,0,3000,1500,1500,1308,136,0.872,0.0907,2.4726,0.1004,0.8907,none
S2,all,9000,0,9000,4500,4500,3921,646,0.8713,0.1436,2.1972,-0.0341,0.8639,none
S3,adversarial,3000,0,3000,1500,1500,1253,233,0.8353,0.1553,1.9893,0.0192,0.84,none
S3,popular,3000,0,3000,1500,1500,1255,103,0.8367,0.0687,2.4666,0.2525,0.884,none
S3,random,3000,0,3000,1500,1500,1256,74,0.8373,0.0493,2.6349,0.3339,0.894,none
S3,all,9000,0,9000,4500,4500,3764,410,0.8364,0.0911,2.3139,0.177,0.8727,none
S4,adversarial,3000,0,3000,1500,1500,1009,72,0.6727,0.048,2.1119,0.6086,0.8123,none
S4,popular,3000,0,3000,1500,1500,1013,31,0.6753,0.0207,2.4949,0.7927,0.8273,none
S4,random,3000,0,3000,1500,1500,1011,15,0.674,0.01,2.7773,0.9377,0.832,none
S4,all,9000,0,9000,4500,4500,3033,118,0.674,0.0262,2.3905,0.7442,0.8239,none
J1,adversarial,3000,0,3000,1500,1500,1015,62,0.6767,0.0413,2.1938,0.6385,0.8177,none
J1,popular,3000,0,3000,1500,1500,1020,32,0.68,0.0213,2.4947,0.7796,0.8293,none
J1,random,3000,0,3000,1500,1500,1021,18,0.6807,0.012,2.7267,0.8938,0.8343,none
J1,all,9000,0,9000,4500,4500,3056,112,0.6791,0.0249,2.4271,0.7483,0.8271,none
J2,adversarial,3000,0,3000,1500,1500,1321,389,0.8807,0.2593,1.8237,-0.2665,0.8107,none
J2,popular,3000,0,3000,1500,1500,1324,209,0.8827,0.1393,2.2717,-0.0526,0.8717,none
J2,random,3000,0,3000,1500,1500,1323,167,0.882,0.1113,2.4045,0.0172,0.8853,none
J2,all,9000,0,9000,4500,4500,3968,765,0.8818,0.17,2.1381,-0.1149,0.8559,none
J3,adversarial,3000,0,3000,1500,1500,1299,335,0.866,0.2233,1.8687,-0.1733,0.8213,none
J3,popular,3000,0,3000,1500,1500,1301,185,0.8673,0.1233,2.2724,0.0223,0.872,none
J3,random,3000,0,3000,1500,1500,1301,114,0.8673,0.076,2.5464,0.1593,0.8957,none
J3,all,9000,0,9000,4500,4500,3901,634,0.8669,0.1409,2.1881,-0.0177,0.863,none
J4,adversarial,3000,0,3000,1500,1500,1299,333,0.866,0.222,1.8731,-0.1711,0.822,none
J4,popular,3000,0,3000,1500,1500,1301,184,0.8673,0.1227,2.2756,0.0239,0.8723,none
J4,random,3000,0,3000,1500,1500,1301,120,0.8673,0.08,2.5189,0.1456,0.8937,none
J4,all,9000,0,9000,4500,4500,3901,637,0.8669,0.1416,2.1852,-0.0192,0.8627,none
