ckpt,arm,stage,source,metric,value,n,parse_fail_rate,truncation_rate
S0,base,0,chair,chair_s,0.484,500,,0.0
S0,base,0,chair,chair_i,0.1564,500,,0.0
S0,base,0,chair,chair_mentions_per_caption,7.48,500,,0.0
S0,base,0,chair,chair_mean_new_tokens,108.4,500,,0.0
S0,base,0,chair,chair_truncation_rate,0.0,500,,0.0
S0,base,0,pope,pope_random_f1,0.8601,3000,0.0,0.0
S0,base,0,pope,pope_random_accuracy,0.8743,3000,0.0,0.0
S0,base,0,pope,pope_random_precision,0.9699,3000,0.0,0.0
S0,base,0,pope,pope_random_recall,0.7727,3000,0.0,0.0
S0,base,0,pope,pope_random_yes_rate,0.3983,3000,0.0,0.0
S0,base,0,pope,pope_popular_f1,0.8479,3000,0.0,0.0
S0,base,0,pope,pope_popular_accuracy,0.8617,3000,0.0,0.0
S0,base,0,pope,pope_popular_precision,0.9414,3000,0.0,0.0
S0,base,0,pope,pope_popular_recall,0.7713,3000,0.0,0.0
S0,base,0,pope,pope_popular_yes_rate,0.4097,3000,0.0,0.0
S0,base,0,pope,pope_adversarial_f1,0.8272,3000,0.0,0.0
S0,base,0,pope,pope_adversarial_accuracy,0.8393,3000,0.0,0.0
S0,base,0,pope,pope_adversarial_precision,0.8946,3000,0.0,0.0
S0,base,0,pope,pope_adversarial_recall,0.7693,3000,0.0,0.0
S0,base,0,pope,pope_adversarial_yes_rate,0.43,3000,0.0,0.0
S0,base,0,pope,pope_all_f1,0.8449,9000,0.0,0.0
S0,base,0,pope,pope_all_accuracy,0.8584,9000,0.0,0.0
S0,base,0,pope,pope_all_precision,0.9343,9000,0.0,0.0
S0,base,0,pope,pope_all_recall,0.7711,9000,0.0,0.0
S0,base,0,pope,pope_all_yes_rate,0.4127,9000,0.0,0.0
S0,base,0,task,task_scienceqa_mc_acc,0.584,500,0.0,0.0
S0,base,0,task,task_scienceqa_mean_new_tokens,2.0,500,0.0,0.0
S0,base,0,task,task_textvqa_vqa_acc,0.5162,500,0.0,0.002
S0,base,0,task,task_textvqa_mean_new_tokens,3.9,500,0.0,0.002
S0,base,0,task,task_flickr_caption_uf1,0.5257,500,0.0,0.0
S0,base,0,task,task_flickr_mean_new_tokens,15.6,500,0.0,0.0
S0,base,0,task,task_vizwiz_vqa_acc,0.5574,500,0.0,0.0
S0,base,0,task,task_vizwiz_mean_new_tokens,3.6,500,0.0,0.0
